sample_id,price
100179,17.51
245611,16.79
146263,29.81
95658,12.12
36806,21.96
148239,8.4
92659,10.0
3780,15.64
196940,13.03
20472,8.4
121721,16.85
127336,7.12
20801,37.9
30103,10.52
68691,22.34
230703,6.53
3342,10.37
115635,10.62
221565,11.13
265927,24.33
290421,12.07
222203,6.92
40595,8.91
157931,16.52
41814,10.45
250478,39.5
130232,7.2
155825,15.89
42104,9.44
148748,45.47
247548,21.81
262167,13.48
100183,12.6
168985,10.32
18411,58.68
111287,7.38
156813,7.3
194861,8.52
104298,13.13
59033,11.65
31133,11.06
299318,8.72
255038,8.25
220578,32.64
38995,13.3
253068,7.53
282143,16.32
226531,21.12
233215,58.17
33295,7.27
198185,12.52
238324,5.21
121672,18.64
21434,16.01
61747,24.32
270417,17.8
105202,9.41
202880,15.46
79564,19.93
251317,17.11
205434,12.69
15315,10.25
276163,10.59
245021,35.1
25664,15.79
90451,6.46
5215,8.7
68223,26.36
135447,21.93
58777,15.74
73979,17.06
173699,8.78
201120,13.97
64448,10.5
243239,29.96
280496,14.69
293812,14.12
35203,7.14
31858,28.02
162188,11.58
193450,16.45
34991,10.74
232133,24.03
294874,3.1
160416,21.73
104466,10.82
284624,2.82
19742,51.1
87611,23.25
227957,16.07
68427,8.28
204601,17.25
107223,8.29
237588,23.28
1313,4.67
196900,9.8
22107,16.98
73030,11.04
181909,28.91
23045,17.76
142744,85.02
169122,13.07
239815,34.87
41952,16.94
227911,10.51
31484,15.67
252567,3.88
225977,14.11
48243,13.28
201046,26.39
161001,18.51
292827,24.83
159584,10.11
281316,24.41
224188,5.22
281823,21.34
214851,20.41
67570,16.7
102740,16.32
11978,25.5
289925,15.53
40458,8.56
278700,15.86
38662,12.89
99886,15.47
172816,8.85
275563,10.72
26172,12.04
277062,7.74
82592,21.92
266300,14.48
202617,32.74
234007,16.02
78684,15.19
42824,14.25
128386,14.12
252965,10.44
277363,20.48
54646,18.96
149645,30.8
206564,17.82
29321,15.81
193776,14.67
60214,13.89
133606,11.45
95844,17.65
75072,6.37
71643,18.94
297677,7.96
298180,17.39
267622,10.67
129731,17.41
72776,23.59
286221,6.85
93467,7.01
173148,9.6
143720,69.55
52592,10.04
225085,8.08
213670,7.78
142420,46.0
1008,8.23
128631,24.38
44224,7.51
16363,27.05
64551,21.66
217996,18.11
262406,11.29
165161,11.33
238864,19.96
227930,27.03
77202,7.95
193685,12.33
114683,14.65
197108,37.73
200477,6.95
144035,35.21
281994,9.6
63221,65.87
269260,19.18
284873,7.67
94407,25.57
243579,25.49
51262,15.97
115285,13.9
247763,15.08
298054,15.17
275947,9.09
33858,8.65
189285,14.9
62318,24.7
93113,8.75
155548,8.94
220244,11.55
22363,13.48
295868,7.72
212510,19.9
232238,7.8
269310,14.66
134611,10.58
154663,17.34
248314,5.49
59089,30.2
37902,11.15
247147,17.14
80803,15.91
121057,8.08
30163,8.89
154861,8.21
41265,15.73
160502,20.56
290401,11.54
62782,19.22
151651,7.0
226249,21.63
48224,10.92
146944,79.83
3438,18.14
161259,17.03
47173,20.92
25800,16.0
50001,11.86
290756,7.24
181986,10.35
10843,18.18
190551,3.73
85154,6.25
134653,7.66
229643,7.43
95464,4.73
54059,16.55
115479,11.6
97906,17.71
127371,15.03
24362,10.86
118312,13.1
22583,10.51
19732,38.83
212955,7.73
21886,15.45
224325,13.94
203894,5.74
191752,8.59
286196,19.19
248824,14.13
43717,23.31
262589,12.48
140499,22.0
242880,15.46
201240,14.71
89117,8.01
298713,9.29
271738,7.94
38576,15.65
950,10.91
79433,15.52
66341,10.19
55422,10.97
182312,19.39
866,17.29
162209,5.17
287083,27.17
265459,7.47
296124,25.86
15509,11.54
112466,38.19
101382,21.93
282568,10.01
92557,17.51
283523,8.75
168873,23.01
223932,13.36
199772,11.14
33589,16.84
235524,13.94
100593,16.64
295833,15.24
194828,6.14
173679,12.24
84443,8.88
19827,24.67
159217,11.19
200101,9.77
40815,21.72
106079,20.19
287913,10.01
286246,9.16
230574,6.47
73645,77.47
56580,32.56
185057,10.84
110193,16.13
265456,5.58
272119,14.01
73684,10.51
84917,7.79
254051,15.46
213640,5.22
5941,12.71
192025,47.23
295491,13.48
14394,24.73
219359,20.28
292038,9.35
236046,12.59
219569,16.57
251251,12.92
193520,12.06
153393,5.86
112673,5.38
66961,11.26
59610,17.34
187539,14.18
196138,73.45
27796,23.11
192821,17.51
217441,10.67
106554,20.33
203432,12.72
73634,76.55
53665,9.95
226789,13.19
46549,12.37
234314,36.49
112654,13.31
239127,6.13
93245,17.09
207744,9.29
17530,4.54
221997,29.21
45669,4.57
166053,11.54
270552,16.31
183394,18.07
7286,26.94
111584,15.07
168394,10.69
294463,9.71
18251,43.35
203229,29.81
2599,26.35
154170,23.43
213714,10.61
11554,12.41
262927,12.61
156465,11.79
53995,32.72
129260,19.19
281072,11.34
29191,14.41
246389,13.85
102936,7.6
63126,19.15
21235,10.1
176587,8.36
111728,13.51
140389,8.34
224260,11.32
95308,22.71
149658,16.01
97804,7.34
174598,10.14
19672,46.24
216342,7.06
281952,16.44
53666,21.18
258593,6.89
33650,7.22
43438,8.02
148107,19.98
98687,18.86
213206,6.69
245479,26.28
236509,14.05
251785,14.56
20793,46.36
64682,13.62
150402,17.22
131447,8.59
47344,14.42
56390,31.61
28935,27.89
276468,9.57
129644,14.95
129059,34.42
161246,26.95
147844,53.36
143756,29.39
103131,14.85
286238,23.84
8708,24.5
241039,11.82
89737,11.37
147371,66.46
68808,11.12
89225,21.11
184365,14.67
109431,16.26
77529,19.44
252679,32.53
74699,9.64
